frame,timestamp,ID_44_x,ID_44_y,ID_44_dim1
1,2025-07-22 15:16:53,,,
2,2025-07-22 15:16:53,,,
3,2025-07-22 15:16:53,,,
4,2025-07-22 15:16:53,,,
5,2025-07-22 15:16:53,,,
6,2025-07-22 15:16:53,,,
7,2025-07-22 15:16:53,,,
8,2025-07-22 15:16:53,595.4759535267491,468.155142079947,0.0
9,2025-07-22 15:16:54,,,
10,2025-07-22 15:16:54,,,
11,2025-07-22 15:16:54,,,
12,2025-07-22 15:16:54,,,
13,2025-07-22 15:16:54,,,
14,2025-07-22 15:16:54,,,
15,2025-07-22 15:16:54,,,
16,2025-07-22 15:16:54,,,
17,2025-07-22 15:16:55,,,
18,2025-07-22 15:16:55,,,
19,2025-07-22 15:16:55,,,
20,2025-07-22 15:16:55,,,
21,2025-07-22 15:16:55,,,
22,2025-07-22 15:16:55,,,
23,2025-07-22 15:16:55,,,
24,2025-07-22 15:16:55,,,
25,2025-07-22 15:16:55,,,
26,2025-07-22 15:16:56,,,
27,2025-07-22 15:16:56,,,
28,2025-07-22 15:16:56,,,
29,2025-07-22 15:16:56,,,
30,2025-07-22 15:16:56,,,
31,2025-07-22 15:16:56,,,
32,2025-07-22 15:16:56,,,
33,2025-07-22 15:16:56,,,
34,2025-07-22 15:16:56,,,
35,2025-07-22 15:16:57,,,
36,2025-07-22 15:16:57,,,
37,2025-07-22 15:16:57,,,
38,2025-07-22 15:16:57,,,
39,2025-07-22 15:16:57,,,
40,2025-07-22 15:16:57,,,
41,2025-07-22 15:16:57,,,
42,2025-07-22 15:16:57,,,
43,2025-07-22 15:16:57,,,
44,2025-07-22 15:16:58,,,
